content_partner,primary_collection,items_total,usage,count,usage_total
Massey University,Tāmiro,6910,All rights reserved,147,6910
Mataura Museum,Mataura Museum NZMuseums,3216,All rights reserved,3054,3216
Mataura Museum,Mataura Museum NZMuseums,3216,Modify,162,3216
Mataura Museum,Mataura Museum NZMuseums,3216,Share,162,3216
Mataura Museum,Mataura Museum NZMuseums,3216,Use commercially,162,3216
Ministry for Culture and Heritage,28th Māori Battalion Te Ope Taua 28,4266,All rights reserved,4266,4266
Ministry for Culture and Heritage,Dictionary of New Zealand Biography,8810,All rights reserved,4680,8810
Ministry for Culture and Heritage,Dictionary of New Zealand Biography,8810,Modify,4130,8810
Ministry for Culture and Heritage,Dictionary of New Zealand Biography,8810,Share,4130,8810
Ministry for Culture and Heritage,Ministry for Culture and Heritage History Group Flickr,50,Modify,38,50
Ministry for Culture and Heritage,Ministry for Culture and Heritage History Group Flickr,50,Share,38,50
Ministry for Culture and Heritage,Ministry for Culture and Heritage History Group Flickr,50,All rights reserved,12,50
Ministry for Culture and Heritage,Ministry for Culture and Heritage Manatu Taonga Flickr,2332,Share,2332,2332
Ministry for Culture and Heritage,Ministry for Culture and Heritage Manatu Taonga Flickr,2332,Use commercially,2332,2332
Ministry for Culture and Heritage,Ministry for Culture and Heritage Te Ara Flickr,16656,All rights reserved,13726,16656
Ministry for Culture and Heritage,Ministry for Culture and Heritage Te Ara Flickr,16656,Share,2930,16656
Ministry for Culture and Heritage,Ministry for Culture and Heritage Te Ara Flickr,16656,Modify,738,16656
Ministry for Culture and Heritage,Ministry for Culture and Heritage Te Ara Flickr,16656,Use commercially,329,16656
Ministry for Culture and Heritage,NZHistory,19322,Modify,11419,19322
Ministry for Culture and Heritage,NZHistory,19322,Share,11419,19322
Ministry for Culture and Heritage,NZHistory,19322,All rights reserved,7903,19322
Ministry for Culture and Heritage,NZHistory - South African War soldiers,6370,Modify,6370,6370
Ministry for Culture and Heritage,NZHistory - South African War soldiers,6370,Share,6370,6370
Ministry for Culture and Heritage,NZHistory - Suffrage petition signatories,24603,Modify,24603,24603
Ministry for Culture and Heritage,NZHistory - Suffrage petition signatories,24603,Share,24603,24603
Ministry for Culture and Heritage,Perspectives,1,Modify,1,1
Ministry for Culture and Heritage,Perspectives,1,Share,1,1
Ministry for Culture and Heritage,QuakeStories,720,Modify,720,720
Ministry for Culture and Heritage,QuakeStories,720,Share,720,720
Ministry for Culture and Heritage,Roadside Stories,158,All rights reserved,158,158
Ministry for Culture and Heritage,Te Ara - The Encyclopedia of New Zealand,35183,All rights reserved,25341,35183
Ministry for Culture and Heritage,Te Ara - The Encyclopedia of New Zealand,35183,Share,9842,35183
Ministry for Culture and Heritage,Te Ara - The Encyclopedia of New Zealand,35183,Modify,9814,35183
Ministry for Culture and Heritage,Te Ara - The Encyclopedia of New Zealand,35183,Use commercially,1031,35183
Ministry for Culture and Heritage,The Encyclopedia of New Zealand 1966,6086,Modify,3943,6086
Ministry for Culture and Heritage,The Encyclopedia of New Zealand 1966,6086,Share,3943,6086
Ministry for Culture and Heritage,The Encyclopedia of New Zealand 1966,6086,All rights reserved,2143,6086
Ministry for Culture and Heritage,WW100 YouTube,71,All rights reserved,71,71
Ministry for the Environment,Ministry for the Environment Publications,1159,All rights reserved,1159,1159
Ministry of Fisheries Te Tautiaki i nga tini a Tangaroa,NABIS,652,All rights reserved,652,652
Ministry of Health,HealthEd Health Resources,1,All rights reserved,1,1
Ministry of Health,Ministry of Health Publications,1669,All rights reserved,1669,1669
Ministry of Health,Public Health Surveillance reports,262,All rights reserved,262,262
Ministry of Tourism Te Manatū Tāpoi,Tourism Research,105,All rights reserved,105,105
Mix & Mash 2011,Mix & Mash Literacy Category Content,16,Modify,16,16
Mix & Mash 2011,Mix & Mash Literacy Category Content,16,Share,16,16
Mix & Mash 2011,Mix & Mash Literacy Category Content,16,Use commercially,3,16
Motu Economic and Public Policy Research,Motu Economic and Public Policy Research,784,All rights reserved,784,784
Museum of New Zealand Te Papa Tongarewa,Museum of New Zealand Te Papa Tongarewa YouTube,707,All rights reserved,629,630
